diffusion,drift_scale,lambda_shape,projection_strength,use_llm,final_expected_J,final_feasibility,final_entropy,mean_stability_tv,final_optimality_gap,is_pareto
0.00018,0.08,0.0,0.0,False,0.4538419573906456,0.7801035276197671,7.26528910706195,0.0016140721743546367,0.4538419573906456,True
0.00018,0.08,0.0,0.55,True,0.4332296382768202,0.9999996289487069,6.8027491119409005,0.00561016470159384,0.4332296382768202,True
0.00018,0.08,0.0,0.85,True,0.43318886566531284,0.9999999190747476,6.802222256807575,0.0056897447394295845,0.43318886566531284,True
0.00018,0.08,1.0,0.0,True,0.03619110224372963,0.9994782415485797,5.767072391664737,0.028736120646516705,0.03619110224372963,True
0.00018,0.08,1.0,0.55,True,0.035959147047490106,0.9997861123012978,5.764295855691276,0.030408877925167676,0.035959147047490106,True
0.00018,0.08,1.0,0.85,True,0.03584495845860187,0.9999311879752784,5.76304130797261,0.030948633445000383,0.03584495845860187,True
0.00018,0.08,1.7,0.0,True,0.012840777981061598,0.9996975156457492,4.659731120026161,0.03470429367456075,0.012840777981061598,True
0.00018,0.08,1.7,0.55,True,0.01271003651713097,0.9998659007076163,4.657800095276165,0.0360010872522025,0.01271003651713097,True
0.00018,0.08,1.7,0.85,True,0.012642272930191493,0.999955674696931,4.656906637181292,0.03660098725397755,0.012642272930191493,True
0.00018,0.08,2.4,0.0,True,0.006100730153732139,0.9998964296188578,3.924717962699685,0.03865054181356488,0.006100730153732139,True
0.00018,0.08,2.4,0.55,True,0.006057860741226819,0.9999535622616436,3.924109019274127,0.03964861635537731,0.006057860741226819,True
0.00018,0.08,2.4,0.85,True,0.0060238908486233015,0.9999845167639455,3.9214448424273276,0.04023719848131497,0.0060238908486233015,True
0.00018,0.16,0.0,0.0,False,0.43076565568213987,0.8466723660688968,7.266782580731626,0.0029444515318386363,0.43076565568213987,True
0.00018,0.16,0.0,0.55,True,0.4067122704438012,0.9999983953829517,6.824119789383441,0.007215457640350459,0.4067122704438012,True
0.00018,0.16,0.0,0.85,True,0.40659995843815566,0.9999996504174863,6.822835353680403,0.007332454328629441,0.40659995843815566,True
0.00018,0.16,1.0,0.0,True,0.030357960334753586,0.9986881982989169,5.604104041623645,0.029736312866667974,0.030357960334753586,True
0.00018,0.16,1.0,0.55,True,0.02979413994972142,0.9994526057732217,5.598839437144316,0.03140912367622404,0.02979413994972142,True
0.00018,0.16,1.0,0.85,True,0.029525049664884773,0.9998244946146199,5.5963431724159225,0.0319546739393973,0.029525049664884773,True
0.00018,0.16,1.7,0.0,True,0.009417194913896339,0.9992411659652227,4.121376841019464,0.03675800301920013,0.009417194913896339,True
0.00018,0.16,1.7,0.55,True,0.009103439455153269,0.9996641739605435,4.117797268947309,0.03804962019218523,0.009103439455153269,True
0.00018,0.16,1.7,0.85,True,0.0089364405080158,0.9998890506585135,4.115823673988905,0.03864891645307437,0.0089364405080158,True
0.00018,0.16,2.4,0.0,True,0.0036889104556743057,0.9997808645847399,3.369617000845922,0.0401191354228632,0.0036889104556743057,True
0.00018,0.16,2.4,0.55,True,0.003599170095465258,0.9999017622863896,3.3685683851622352,0.041113928895270734,0.003599170095465258,True
0.00018,0.16,2.4,0.85,True,0.0035545185284386726,0.9999673334195199,3.368034051695775,0.0416901574239157,0.0035545185284386726,True
0.00018,0.24,0.0,0.0,False,0.4044183908442458,0.8986973952314138,7.265639846876706,0.004326476412798841,0.4044183908442458,True
0.00018,0.24,0.0,0.55,True,0.3755039901086169,0.9999947933624332,6.834119959947516,0.008891319228947722,0.3755039901086169,True
0.00018,0.24,0.0,0.85,True,0.3753020843630994,0.9999988627301539,6.832353063635034,0.00904159166663164,0.3753020843630994,True
0.00018,0.24,1.0,0.0,True,0.0265370045733915,0.9976670668434406,5.409399923567759,0.03091330140881563,0.0265370045733915,True
0.00018,0.24,1.0,0.55,True,0.025530861485338802,0.999027207539291,5.400194563408146,0.03259678544768156,0.025530861485338802,True
0.00018,0.24,1.0,0.85,True,0.025044955835351383,0.99968823076104,5.395763238924843,0.033149869194081055,0.025044955835351383,True
0.00018,0.24,1.7,0.0,True,0.007865734640250956,0.9988855872198745,3.8935641919600648,0.03757251795416304,0.007865734640250956,True
0.00018,0.24,1.7,0.55,True,0.007407786534454654,0.9995069582974895,3.8894644443799127,0.03886201510623812,0.007407786534454654,True
0.00018,0.24,1.7,0.85,True,0.007162915156025755,0.999837125211513,3.886901242729044,0.0394612350391894,0.007162915156025755,True
0.00018,0.24,2.4,0.0,True,0.003650809930306501,0.9996935755499502,3.3762427058225155,0.040499528469763534,0.003650809930306501,True
0.00018,0.24,2.4,0.55,True,0.0035253355121364245,0.9998626408038738,3.374860385377771,0.04148998393356187,0.0035253355121364245,True
0.00018,0.24,2.4,0.85,True,0.003465527181591548,0.9999543336699701,3.3753610692431675,0.04206597102126994,0.003465527181591548,True
0.00018,0.32,0.0,0.0,False,0.37514728936188346,0.9366970212400323,7.261954458722566,0.005730125483579049,0.37514728936188346,True
0.00018,0.32,0.0,0.55,True,0.3409067466571837,0.9999852358973955,6.837475127741149,0.010592098174644559,0.3409067466571837,True
0.00018,0.32,0.0,0.85,True,0.340591280721091,0.9999967608482232,6.83492549566928,0.010773999636865953,0.340591280721091,True
0.00018,0.32,1.0,0.0,True,0.02381840234266774,0.9963587549067774,5.131084621373396,0.0325011410995528,0.02381840234266774,True
0.00018,0.32,1.7,0.0,True,0.008068707385331855,0.9985668587822255,3.8701439665606254,0.03817530510712073,0.008068707385331855,True
0.00018,0.32,1.7,0.85,True,0.007163190518223758,0.9997905769060379,3.8618339453983515,0.040066538650275575,0.007163190518223758,True
0.00042,0.08,0.0,0.0,False,0.45335300262504385,0.7779437828699167,7.277699231412731,0.0016244045174180378,0.45335300262504385,True
0.00042,0.08,0.0,0.55,True,0.4315411902726388,0.9999897867085664,6.809967684736236,0.00571976290342987,0.4315411902726388,True
0.00042,0.08,0.0,0.85,True,0.4314934335958126,0.9999978148693909,6.809426226252769,0.005802874798567278,0.4314934335958126,True
0.00042,0.08,1.0,0.0,True,0.036932537400482496,0.999395683807782,5.790373459646619,0.028636167958175307,0.036932537400482496,True
0.00042,0.08,1.0,0.55,True,0.0366696617076284,0.999753494453372,5.787465402474497,0.03031555497730572,0.0366696617076284,True
0.00042,0.08,1.0,0.85,True,0.036542902048721786,0.9999208325401016,5.786253807915493,0.030858076435568517,0.036542902048721786,True
0.00042,0.08,1.7,0.0,True,0.014064914476678177,0.999658544847754,4.7676746793736715,0.03433525275637875,0.014064914476678177,True
0.00042,0.08,1.7,0.55,True,0.013922339197568766,0.9998488056458289,4.766155753197739,0.03563610063748672,0.013922339197568766,True
0.00042,0.08,1.7,0.85,True,0.01384688759502206,0.999950031541831,4.765291021097716,0.03623748185634022,0.01384688759502206,True
0.00042,0.08,2.4,0.0,True,0.00734907750168201,0.9998832919770452,4.126621180895004,0.03765069368663937,0.00734907750168201,True
0.00042,0.08,2.4,0.55,True,0.007295689183956462,0.9999476222659293,4.125258845939696,0.03864586131668679,0.007295689183956462,True
0.00042,0.08,2.4,0.85,True,0.007261343173893247,0.9999825502963406,4.123771886650855,0.03923421401605476,0.007261343173893247,True
0.00042,0.16,0.0,0.0,False,0.4302593559458215,0.8444803601250446,7.2792411133356385,0.002944887622364465,0.4302593559458215,True
